symbol,Name,FiscalYearEnd,TotalRevenue,MarketCapitalization,NetIncome,TotalDebt,ShareholdersEquity,Dividends,P/E Ratio,Debt/Equity Ratio
AMZN,Amazon,2017,177866.0,563.54,3033.0,24.744137,27.709,0.001,0.18580283547642598,0.8929999999999999
AMZN,Amazon,2016,135987.0,356.31,2371.0,7.694715,19.285,0.001,0.15027836355967947,0.399
AMZN,Amazon,2015,107006.0,316.83,596.0,8.2271448,13.384,0.001,0.5315939597315436,0.6146999999999999
AMZN,Amazon,2014,88988.0,143.7,-241.0,8.2651995,10.741,0.001,-0.5962655601659751,0.7695
AMZN,Amazon,2013,74452.0,182.54,274.0,3.1908404,9.746,0.001,0.6662043795620438,0.32739999999999997
AMZN,Amazon,2012,61093.0,113.63,-39.0,3.084288,8.192,0.001,-2.9135897435897435,0.3765
AMZN,Amazon,2011,48077.0,78.72,631.0,0.2552053,7.757,0.001,0.12475435816164818,0.032900000000000006
AMZN,Amazon,2010,34204.0,80.79,1152.0,1.5608736,6.864,0.001,0.07013020833333333,0.22740000000000002
AMZN,Amazon,2009,24509.0,58.24,902.0,1.0550799,5.257,0.001,0.06456762749445677,0.20070000000000002
ASML,ASML,2024,27460.0,44.17,863.0,5.12,14.99,3.43,0.051181923522595596,0.3415610406937959
ASML,ASML,2023,29920.0,298.67,1003.0,4.57,14.87,6.45,0.29777666999002994,0.30733019502353737
ASML,ASML,2022,22190.0,220.27,680.0,5.19,9.45,6.93,0.3239264705882353,0.5492063492063493
ASML,ASML,2021,21620.0,325.23,758.0,5.75,11.48,3.98,0.4290633245382586,0.5008710801393728
ASML,ASML,2020,16310.0,205.12,476.0,3.48,17.05,2.85,0.43092436974789916,0.20410557184750733
ASML,ASML,2019,13210.0,124.0,311.0,3.46,14.1,3.56,0.3987138263665595,0.2453900709219858
ASML,ASML,2018,12840.0,66.06,348.0,3.62,13.31,1.72,0.18982758620689655,0.27197595792637114
ASML,ASML,2017,10420.0,74.6,276.0,3.49,12.93,1.31,0.2702898550724637,0.2699149265274556
ASML,ASML,2016,7480.0,47.78,171.0,1.23,10.32,1.14,0.27941520467836256,0.1191860465116279
ASML,ASML,2015,6950.0,39.34,163.0,1.4,9.17,0.81,0.24134969325153377,0.15267175572519084
ASML,ASML,2014,7650.0,47.11,157.0,1.48,9.13,0.84,0.30006369426751595,0.16210295728368015
ASML,ASML,2013,7010.0,41.42,132.0,1.0,9.55,0.71,0.3137878787878788,0.10471204188481674
ASML,ASML,2012,6150.0,25.84,150.0,0.95,5.37,12.46,0.17226666666666668,0.17690875232774672
ASML,ASML,2011,7810.0,17.28,233.0,0.94,4.47,0.54,0.07416309012875537,0.21029082774049218
ASML,ASML,2010,5930.0,16.73,166.0,1.0,3.68,0.28,0.10078313253012049,0.2717391304347826
ASML,ASML,2009,2270.0,14.72,-16.0,0.9,2.54,0.27,-0.92,0.3543307086614173
ASML,ASML,2008,4460.0,7.8,46.0,0.88,2.78,0.37,0.16956521739130434,0.3165467625899281
